term,coef,or,ci_low,ci_high,pvalue,stderr
const,-0.7780201945168882,0.4593144650239903,0.4417742821917597,0.4775510623515639,0.0,0.01986567452628399
maternal_age,-0.0052322542913845,0.9947814101088406,0.9935237674153972,0.9960406447774296,5.21046016914571e-16,0.0006454404676144342
year_c,0.018718836528705735,1.0188951322480593,1.0162523922720303,1.0215447446060222,2.6035509234201404e-45,0.0013250756916252798
tobacco,0.24338470383049068,1.2755592422675863,1.23965369626017,1.3125047627759296,1.1680777021545824e-62,0.014567941377212672
obesity,0.22780333173060088,1.2558383175952719,1.2376602518865252,1.2742833726271448,6.259030590813566e-206,0.007439232707788296
diabetes,0.15808506052678736,1.1712658189581324,1.1445990905330012,1.1985538255327757,2.9389238628767415e-41,0.011750534340325925
hypertension,0.5628665453804035,1.7556980820522066,1.7230790515388064,1.7889346124711878,0.0,0.009568394552950223
multiple,1.0520084716832003,2.8633963970980347,2.7814164228371623,2.9477926640523107,0.0,0.014820766782198472
race_eth_Hispanic,-0.3427234133951615,0.7098345151300253,0.6967200953829683,0.7231957886802691,3.912511272927503e-284,0.00951452192322092
race_eth_NH AIAN,0.028521970765694515,1.0289326170236295,0.9570820985318836,1.106177131511593,0.43996355174330437,0.0369333697740136
race_eth_NH Asian,-0.24430424252439614,0.7832493002646883,0.7585296941750015,0.8087744897480402,2.0675541111430523e-50,0.016362081210993733
race_eth_NH Black,0.3278458512487313,1.387975001184922,1.3618188762252141,1.4146335004947372,4.520488323393812e-250,0.009706625323993873
race_eth_NH Multiracial,0.08806378085853935,1.092057772189285,1.046328431739633,1.1397856940733375,5.460905394145383e-05,0.021825133807773567
race_eth_NH NHOPI,0.1163315784166525,1.1233682950667352,0.9941752568675606,1.2693499638457157,0.062006755266784494,0.062334488027038226
education_Associate,-0.01651818722233919,0.9836174899580068,0.9577759808480802,1.0101562222249465,0.22396684748463203,0.013583505510680036
education_Bachelor's,-0.14636831114768165,0.8638394828748459,0.8446463008692743,0.8834687980110782,2.4851693295968096e-37,0.011463989714110043
education_Graduate,-0.18729887655614325,0.8291958721402095,0.807129242268068,0.8518657959192175,3.488846970011023e-42,0.013761781176749853
education_Less than HS,0.029421086623771235,1.0298581626805248,1.0060312209836133,1.054249423991765,0.0137609050907078,0.011943066728505258
education_Some college,-0.012715928410981915,0.9873645774099891,0.9679838899570917,1.0071332992610245,0.20867853808751702,0.010114423630100566
pnc_timing_2nd trimester,-0.003695882670014926,0.996310938698094,0.9781239114935556,1.0148361316039836,0.6941774063325787,0.009399680595960372
pnc_timing_3rd trimester,-0.13662495538262995,0.8722973152045913,0.8427709395082632,0.9028581438238801,7.463977257822226e-15,0.017569263222578554
pnc_timing_No PNC,0.8004409265741135,2.2265224450020713,2.135530306054751,2.321391639370583,2.2677963525831e-309,0.021289127838412088
payment_Medicaid,0.012099490730770828,1.012172985686807,0.9950397262193851,1.029601257074098,0.16480765934288355,0.008710418985943111
payment_Other,0.12342941848013889,1.131370147899346,1.091184581968697,1.1730356464975307,2.2444962612239327e-11,0.018452145134136445
payment_Self-pay,0.06708065554716124,1.0693817262646161,1.0311712898950747,1.109008064591338,0.00030217792941751207,0.01856428231872537
