term,coef,or,ci_low,ci_high,pvalue,stderr
const,-1.697210436172118,0.18319384285589163,0.17571989564304738,0.1909856817151881,0.0,0.021252236221286674
maternal_age,0.016771686477320698,1.0169131208020064,1.0155631453276652,1.0182648907819771,3.475265905380662e-135,0.000677770034802499
year_c,0.0032009445625735106,1.0032060730561678,1.0004391710654854,1.0059806274327696,0.023113474394255863,0.001409143191538463
tobacco,0.38815647924916613,1.4742604574093432,1.430284535865435,1.5195884747266044,2.8569661226882513e-139,0.01545083423964367
obesity,0.015184402214170655,1.0153002709725705,0.9993622807870648,1.031492442785737,0.05997975657159842,0.008072763061617166
diabetes,0.3871191342367432,1.4727319336171718,1.4387032180003345,1.5075655084099975,4.3554978663672045e-231,0.011927244388699854
hypertension,1.0971754884152345,2.995692694351295,2.938719745669368,3.053770177375532,0.0,0.009796844591689575
multiple,2.9151671058426953,18.451895564690226,17.825659667082565,19.10013184863852,0.0,0.017616717719558007
race_eth_Hispanic,0.09251185921459892,1.0969261501657819,1.0762992829606013,1.117948323451191,1.277670065930206e-21,0.00968553110372984
race_eth_NH AIAN,0.12618131294784443,1.134487846972185,1.0478560497811915,1.228281952655942,0.0018496404087551491,0.040528853687583626
race_eth_NH Asian,0.11695073335990834,1.1240640494673841,1.0892612276888218,1.1599788509740052,3.1428964162714795e-13,0.01604674367553808
race_eth_NH Black,0.40122902033699426,1.4936593076895015,1.46276147474016,1.5252097939233678,9.6727448009108e-310,0.01066496640306666
race_eth_NH Multiracial,0.11777251877716416,1.1249881685730931,1.0732781817999961,1.1791895157198722,9.316528760390463e-07,0.0240080088187564
race_eth_NH NHOPI,0.21317109025663106,1.2375963738124511,1.0812325685799011,1.4165729270303076,0.00197956846995132,0.06891424216600052
education_Associate,-0.13062467438724001,0.8775470784840054,0.8527353968285726,0.9030806951603837,4.402596207844744e-19,0.014633589426606164
education_Bachelor's,-0.3037252741386647,0.7380636037599883,0.7204759192752369,0.7560806247947334,1.652472370802525e-134,0.012305334380550387
education_Graduate,-0.32927357227953274,0.719446169293765,0.699048599803487,0.740438920351144,1.6563932556464594e-111,0.014674473356006539
education_Less than HS,0.07869973609715121,1.081879423956919,1.0560128218482663,1.1083796179034777,1.840804009833029e-10,0.01234686411378393
education_Some college,-0.05759498032563906,0.9440322216402811,0.9243563445796659,0.9641269200140994,8.347825054898836e-08,0.010746445965060617
pnc_timing_2nd trimester,-0.10392803039577343,0.9012901605832392,0.8835979908535543,0.9193365783680172,9.168916512537413e-25,0.010115007733988213
pnc_timing_3rd trimester,-0.2779827086227164,0.7573099163326055,0.7295339924638801,0.786143367273038,3.7197260114318556e-48,0.01906494550012358
pnc_timing_No PNC,1.1317580105326581,3.10110348338152,2.96878939578063,3.2393145934530962,0.0,0.022247220870458113
payment_Medicaid,0.08635831494829968,1.090196892171569,1.0706039206680655,1.1101484318858985,1.0284250842244869e-20,0.009252932196038007
payment_Other,0.04319717917670656,1.0441437579605444,1.0038723856424236,1.0860306577616197,0.031353594690605675,0.020067854424827086
payment_Self-pay,-0.18400788966292564,0.8319292401594963,0.7990809627379892,0.8661278304777882,3.4780927206355504e-19,0.020554009624234912
