year,outcome,white_rate,black_rate,white_n,black_n,rate_ratio,rate_diff_pp
2016,preterm,9.065912675869507,13.761502127160481,2080662,562722,1.517938967555809,4.695589451290974
2017,preterm,9.080284792601551,13.917757658193771,2013395,564624,1.5327446193685141,4.83747286559222
2018,preterm,9.113171040151755,14.124197294712392,1976875,556244,1.5498663673141366,5.011026254560637
2019,preterm,9.283260417876548,14.389270294625376,1937175,552634,1.5500233373736139,5.1060098767488284
2020,preterm,9.122401971517752,14.349626430705843,1863336,534439,1.573009660778893,5.227224459188092
2021,preterm,9.52160730643351,14.743568887213181,1909331,522499,1.548432781643003,5.221961580779672
2022,preterm,9.45876777302094,14.57871665571266,1861881,515793,1.5412913188645196,5.11994888269172
2023,preterm,9.46838153162179,14.648030516057846,1806634,495739,1.547046923187184,5.1796489844360565
2024,preterm,9.505900956195532,14.857628701685169,1803606,477519,1.5629900595589115,5.351727745489637
2016,lbw,6.9990043044241865,13.67518935520529,2079953,562303,1.9538764030422122,6.676185050781104
2017,lbw,7.024323371198387,13.875748975086724,2013290,564438,1.975385847408595,6.851425603888337
2018,lbw,6.940605079429323,14.054449685562867,1976600,556073,2.0249602916059395,7.113844606133544
2019,lbw,6.9232961821591745,14.142361538628677,1936592,552284,2.0427208610650665,7.219065356469502
2020,lbw,6.8648693035839745,14.169460684379896,1863211,534177,2.0640539619570584,7.304591380795921
2021,lbw,7.056433978441235,14.640506358195582,1909293,522318,2.074774086022083,7.584072379754347
2022,lbw,7.146992885448524,14.729024963101313,1861818,515601,2.0608702427968013,7.582032077652789
2023,lbw,7.0622424324616055,14.785002108712717,1806565,495563,2.093527976433298,7.722759676251112
2024,lbw,6.989935286792509,14.992872796689461,1804423,477747,2.1449229758991493,8.002937509896952
2016,vlbw,1.0785339861044938,2.9530342182061986,2079953,562303,2.738007569768037,1.8745002321017048
2017,vlbw,1.0644268833600723,2.9567463565528898,2013290,564438,2.777782488186826,1.8923194731928175
2018,vlbw,1.0268643124557322,2.9246160126458216,1976600,556073,2.8481036658598464,1.8977517001900894
2019,vlbw,1.0255644968067616,2.943232105221227,1936592,552284,2.8698654393608507,1.9176676084144653
2020,vlbw,0.9954857501377997,2.861036697574025,1863211,534177,2.874010699980374,1.8655509474362253
2021,vlbw,1.0268198752103528,2.9066583958431456,1909293,522318,2.8307383466332805,1.8798385206327928
2022,vlbw,1.019755958960543,2.886534355053617,1861818,515601,2.830612883101872,1.866778396093074
2023,vlbw,1.0135810225483168,2.861190201851228,1806565,495563,2.8228529719880746,1.847609179302911
2024,vlbw,0.9955537033167944,2.831414953940056,1804423,477747,2.8440604906665428,1.8358612506232617
2016,cesarean,30.923888913448362,35.8852652091812,2081116,562933,1.1604383041738067,4.961376295732837
2017,cesarean,30.92709929843765,36.01686888197625,2013506,564827,1.1645731316223285,5.089769583538601
2018,cesarean,30.788014149316357,36.05754630353411,1977198,556491,1.1711553115657758,5.269532154217753
2019,cesarean,30.647505781301618,35.87074505036471,1937280,552768,1.170429505955093,5.223239269063093
2020,cesarean,30.749121207617147,36.284995369807405,1863637,534535,1.1800335731487155,5.535874162190257
2021,cesarean,31.023601675119778,36.766605492648594,1909356,522553,1.185117249688471,5.743003817528816
2022,cesarean,31.05288968455904,36.76850850361893,1861743,515898,1.1840607710625386,5.715618819059891
2023,cesarean,31.129299225544305,36.93351539636022,1806430,495799,1.1864550862119327,5.804216170815916
2024,cesarean,31.025315402745044,37.45991584159453,1803250,477433,1.2073983891967193,6.434600438849486
2016,nicu,8.225792026219596,11.66663408756906,2079666,562733,1.4182991802347822,3.440842061349464
2017,nicu,8.441762012195152,11.927807936521994,2012767,564605,1.4129524048759992,3.4860459243268416
2018,nicu,8.564172856034766,12.284187116040496,1976373,556211,1.4343693573845153,3.7200142600057298
2019,nicu,8.77357233669647,12.584017991384254,1936486,552709,1.4343094817546735,3.8104456546877845
2020,nicu,8.749904704433419,12.732587406829364,1862626,534369,1.4551686946233815,3.9826827023959446
2021,nicu,9.121373735340855,13.054899775790334,1908024,522279,1.4312427222676989,3.933526040449479
2022,nicu,9.083704154559864,12.957637150453126,1859836,515310,1.4264706258568112,3.873932995893261
2023,nicu,9.451536865663787,13.202650547417615,1805135,495143,1.396878701852303,3.7511136817538286
2024,nicu,9.648158679520078,13.4198308877138,1802375,477316,1.3909214528363596,3.7716722081937224
2016,low_apgar5,1.9548150648599123,3.372496543110754,2073700,560475,1.7252253697729902,1.4176814782508418
2017,low_apgar5,1.9400322857085917,3.3432023685684564,2007080,562365,1.7232715110961985,1.4031700828598648
2018,low_apgar5,1.9349586315863738,3.271470094419671,1970223,553910,1.6907183652487494,1.3365114628332972
2019,low_apgar5,2.0020941128708194,3.2468346496176506,1931128,550413,1.6217192931864663,1.2447405367468312
2020,low_apgar5,2.0588737307031066,3.2128348033928495,1857229,532178,1.5604817116665355,1.153961072689743
2021,low_apgar5,2.2013414777695566,3.2691047017050097,1902976,520173,1.485051153906995,1.067763223935453
2022,low_apgar5,2.2197487076934688,3.3113215083913183,1855210,513209,1.4917551238635918,1.0915728006978496
2023,low_apgar5,2.327165298121702,3.31351925587732,1800087,493252,1.4238435312488213,0.9863539577556182
2024,low_apgar5,2.3667469850011216,3.3879859639077927,1796601,475061,1.4314947839285774,1.0212389789066711
