outcome,stratifier,level,n,events,rate_per_100
preterm,race_eth,NH Black,4782213,686592,14.357202408173789
preterm,race_eth,NH AIAN,249239,29828,11.967629464088686
preterm,race_eth,NH NHOPI,90361,10748,11.894512012925931
preterm,race_eth,NH Multiracial,774821,82587,10.658848947047124
preterm,race_eth,Hispanic,8204770,812492,9.902678563811051
preterm,race_eth,NH White,17252895,1601841,9.2844766052306
preterm,race_eth,NH Asian,2130610,189814,8.908904022791594
preterm,education,Missing,498174,63980,12.842902279123358
preterm,education,Less than HS,3996122,458223,11.466691957853138
preterm,education,HS / GED,8645337,962277,11.13058981969124
preterm,education,Some college,6276233,678645,10.812935083831336
preterm,education,Associate,2757497,286839,10.402150936156957
preterm,education,Graduate,4268722,364657,8.542533339018094
preterm,education,Bachelor's,7042824,599281,8.509100894754718
preterm,pnc_timing,No PNC,633524,158092,24.95438215442509
preterm,pnc_timing,Missing,743720,130453,17.54060667993331
preterm,pnc_timing,1st trimester,25263841,2492341,9.8652497060918
preterm,pnc_timing,2nd trimester,5363779,517516,9.648346809217903
preterm,pnc_timing,3rd trimester,1480045,115500,7.803816775841275
preterm,age_group,40+,1211551,176863,14.598064794631014
preterm,age_group,35-39,5227727,600274,11.482504729110758
preterm,age_group,<20,1497850,158083,10.553994058150016
preterm,age_group,30-34,9890454,974593,9.853875261944497
preterm,age_group,20-24,6175470,601879,9.746286517463448
preterm,age_group,25-29,9481857,902210,9.515119242992169
preterm,payment,Medicaid,13896868,1589850,11.440347566084675
preterm,payment,Missing,230136,25610,11.128202454200995
preterm,payment,Other,1178199,116495,9.887548707815911
preterm,payment,Private,16795463,1566906,9.329340905933941
preterm,payment,Self-pay,1384243,115041,8.310751797191678
preterm,tobacco,Missing,145362,22495,15.475158569639934
preterm,tobacco,1.0,1707711,251383,14.720464996711973
preterm,tobacco,0.0,31631836,3140024,9.926783889496646
preterm,obesity,Missing,754400,114989,15.242444326617179
preterm,obesity,1.0,9686632,1164914,12.025996238940428
preterm,obesity,0.0,23043877,2133999,9.260590134203545
preterm,diabetes,Missing,34748,5772,16.611027972832968
